[13.6.2011 | 20:19:39] /midnight 
[14.6.2011 | 14:35:39] /givemoney 1 1000000
[14.6.2011 | 14:35:40] /givemoney 1 1000000
[14.6.2011 | 14:35:40] /givemoney 1 1000000
[14.6.2011 | 14:35:41] /givemoney 1 1000000
[14.6.2011 | 14:35:41] /givemoney 1 1000000
[14.6.2011 | 14:35:42] /givemoney 1 1000000
[14.6.2011 | 14:35:42] /givemoney 1 1000000
[14.6.2011 | 14:35:43] /givemoney 1 1000000
[14.6.2011 | 14:36:04] /givemoney 1 1000000
[14.6.2011 | 14:36:04] /givemoney 1 1000000
[14.6.2011 | 14:36:05] /givemoney 1 1000000
[14.6.2011 | 14:36:05] /givemoney 1 1000000
[14.6.2011 | 14:36:48] /get 3
[14.6.2011 | 14:38:39] /givemoney 1 1000000
[14.6.2011 | 14:39:21] /acmds 
[14.6.2011 | 14:39:29] /goto 2
[14.6.2011 | 14:42:51] /goto 1
[14.6.2011 | 14:42:53] /goto 2
[14.6.2011 | 14:44:37] /carcolor 2
[14.6.2011 | 14:44:39] /carcolor 1
[14.6.2011 | 14:44:40] /carcolor 0
[14.6.2011 | 14:44:41] /carcolor 6
[14.6.2011 | 14:44:50] /ca 
[14.6.2011 | 14:44:54] /cd 5 1
[14.6.2011 | 14:44:55] /ca 
[14.6.2011 | 14:46:33] /get 2
[14.6.2011 | 14:46:34] /ca 
[14.6.2011 | 14:47:01] /cd 5
[14.6.2011 | 14:47:02] /ca 
[14.6.2011 | 14:47:07] /cd 5 1
[14.6.2011 | 14:48:14] /ca 
[14.6.2011 | 14:52:13] /carcolor 126
[14.6.2011 | 14:52:19] /carcolor 1
[14.6.2011 | 14:52:23] /ca 
[14.6.2011 | 14:52:43] /cd 10 1
[14.6.2011 | 14:52:44] /ca 
[14.6.2011 | 14:54:00] /cd 3 1
[14.6.2011 | 14:54:23] /goto 1
[14.6.2011 | 14:56:07] /xspec 3
[14.6.2011 | 20:50:57] /goto 0
