[11.6.2011 | 21:42:58] /ann IVAN
[11.6.2011 | 21:43:18] /ann VLADI HAIM SHELI
[11.6.2011 | 21:44:08] /ann Vladi 3>
[11.6.2011 | 21:46:59] /get 0
[11.6.2011 | 21:47:01] /get 0
[11.6.2011 | 21:47:02] /get 0
[11.6.2011 | 21:47:03] /get 0
[11.6.2011 | 21:47:03] /get 0
[11.6.2011 | 21:47:15] /goto 0
[11.6.2011 | 21:47:39] /get 0
[11.6.2011 | 21:53:23] /xcmds 
[11.6.2011 | 21:53:58] /kick 0 Yeld Homo
[11.6.2011 | 21:54:30] /ban 0 LOX
[11.6.2011 | 21:54:58] /unban _Pois0n_
[11.6.2011 | 21:55:31] /goto 0
[11.6.2011 | 21:55:53] /unjail babushka
[11.6.2011 | 21:56:11] /goto 0
[11.6.2011 | 21:56:13] /goto 0
[11.6.2011 | 21:56:25] /unmute babushka
[11.6.2011 | 21:56:59] /xcmds 
[11.6.2011 | 21:57:31] /unfreeze babushka
[11.6.2011 | 21:57:47] /goto 0
[11.6.2011 | 21:57:52] /goto 0
[11.6.2011 | 21:57:54] /goto 0
[11.6.2011 | 21:58:01] /goto 0
[11.6.2011 | 21:58:03] /goto 0
[11.6.2011 | 21:58:07] /goto 0
[11.6.2011 | 21:58:15] /xcmds 
[11.6.2011 | 21:58:30] /ban 0 îøáéõ ìàãîéï
