[18.6.2011 | 18:57:14] /goto 0
[18.6.2011 | 18:57:16] /goto 1
[18.6.2011 | 18:57:18] /goto 2
[18.6.2011 | 18:57:20] /ca 
[18.6.2011 | 18:57:37] /spawnc bansh
[18.6.2011 | 21:10:33] /goto 1
[18.6.2011 | 21:11:30] /goto 1
[18.6.2011 | 21:12:40] /givemoney 3 1000000
[18.6.2011 | 21:12:42] /givemoney 3 1000000
[18.6.2011 | 21:12:56] /givemoney 3 1000000
[18.6.2011 | 21:12:56] /givemoney 3 1000000
[18.6.2011 | 21:13:21] /givemoney 3 1000000
[18.6.2011 | 21:13:21] /givemoney 3 1000000
[18.6.2011 | 21:13:24] /givemoney 3 1000000
[18.6.2011 | 21:13:24] /givemoney 3 1000000
[18.6.2011 | 21:13:24] /givemoney 3 1000000
[18.6.2011 | 21:13:25] /givemoney 3 1000000
[18.6.2011 | 21:13:26] /givemoney 3 1000000
[18.6.2011 | 21:13:26] /givemoney 3 1000000
[18.6.2011 | 21:13:27] /givemoney 3 1000000
[18.6.2011 | 21:13:27] /givemoney 3 1000000
[18.6.2011 | 21:13:28] /givemoney 3 1000000
[18.6.2011 | 21:13:28] /givemoney 3 1000000
[18.6.2011 | 21:13:29] /givemoney 3 1000000
[18.6.2011 | 21:13:29] /givemoney 3 1000000
[18.6.2011 | 21:13:45] /rc 
[18.6.2011 | 21:15:10] /givemoney 3 1000000
[18.6.2011 | 21:15:13] /givemoney 3 1000000
[18.6.2011 | 21:15:13] /givemoney 3 1000000
[18.6.2011 | 21:15:14] /givemoney 3 1000000
[18.6.2011 | 21:15:14] /givemoney 3 1000000
[18.6.2011 | 21:15:15] /givemoney 3 1000000
[18.6.2011 | 21:15:15] /givemoney 3 1000000
[18.6.2011 | 21:15:16] /givemoney 3 1000000
[18.6.2011 | 21:15:17] /givemoney 3 1000000
[18.6.2011 | 21:15:17] /givemoney 3 1000000
[18.6.2011 | 21:15:17] /givemoney 3 1000000
[18.6.2011 | 21:15:18] /givemoney 3 1000000
[18.6.2011 | 21:15:18] /givemoney 3 1000000
[18.6.2011 | 21:18:40] /givemoney 3 1000000
[18.6.2011 | 21:18:41] /givemoney 3 1000000
[18.6.2011 | 21:18:41] /givemoney 3 1000000
[18.6.2011 | 21:18:42] /givemoney 3 1000000
[18.6.2011 | 21:18:42] /givemoney 3 1000000
[18.6.2011 | 21:18:43] /givemoney 3 1000000
[18.6.2011 | 21:18:43] /givemoney 3 1000000
[18.6.2011 | 21:18:44] /givemoney 3 1000000
[18.6.2011 | 21:18:44] /givemoney 3 1000000
[18.6.2011 | 21:18:45] /givemoney 3 1000000
[18.6.2011 | 21:18:45] /givemoney 3 1000000
[18.6.2011 | 21:18:46] /givemoney 3 1000000
[18.6.2011 | 21:18:46] /givemoney 3 1000000
[18.6.2011 | 21:18:47] /givemoney 3 1000000
[18.6.2011 | 21:19:18] /ca 
[18.6.2011 | 21:56:03] /saa pliz
[18.6.2011 | 21:56:12] /saa ~R~Roni Pliz
[18.6.2011 | 21:56:17] /ann ~R~Roni Pliz
[18.6.2011 | 21:56:20] /ann ~R~Roni Pliz
[18.6.2011 | 21:56:27] /ann ~R~Roni Pliz
[18.6.2011 | 21:56:34] /ann ~R~Roni Pliz cpra
[18.6.2011 | 21:56:39] /ann ~R~Roni Pliz cpra
[18.6.2011 | 21:56:43] /ann ~R~Roni Pliz cpra
[18.6.2011 | 21:56:52] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 21:57:02] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 21:59:55] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:13] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:13] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:23] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:33] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:35] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:40] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:50] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:51] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:01:51] /ann ~R~Roni ~B~Pliz ~Y~cpra
[18.6.2011 | 22:02:50] /acmds 
[18.6.2011 | 22:04:54] /pcmds 
