[16.6.2011 | 10:54:13] /setlevel 0 10
[16.6.2011 | 10:58:09] /goto 0
[16.6.2011 | 11:05:19] /spawnc sulta
[16.6.2011 | 11:06:24] /spawnc com
[16.6.2011 | 11:07:37] /spawnc bullet
[16.6.2011 | 11:09:14] /spawnc voodoo
[16.6.2011 | 11:11:11] /spawnc chee
[16.6.2011 | 11:12:15] /spawnc pho
[16.6.2011 | 11:13:40] /spawnc mons
[16.6.2011 | 11:14:22] /spawnc monster b
[16.6.2011 | 11:14:39] /spawnc monster b
[16.6.2011 | 11:15:20] /spawnc monster 
[16.6.2011 | 11:15:37] /spawnc monster 
[16.6.2011 | 11:15:59] /spawnc 504
[16.6.2011 | 11:16:16] /spawnc 504
[16.6.2011 | 11:17:02] /spawnc 504
[16.6.2011 | 11:17:26] /spawnc 504
[16.6.2011 | 11:18:23] /spawnc Hotring
[16.6.2011 | 11:20:01] /spawnc Hotring
[16.6.2011 | 11:21:39] /spawnc Hotring
[16.6.2011 | 11:22:47] /spawnc 503
[16.6.2011 | 11:23:42] /spawnc 502
[16.6.2011 | 11:23:58] /spawnc 502
[16.6.2011 | 11:24:20] /goto 0
[16.6.2011 | 11:24:57] /spawnc ban
[16.6.2011 | 11:26:31] /spawnc bu
[16.6.2011 | 11:26:54] /spawnc inf
[16.6.2011 | 11:27:29] /spawnc inf
[16.6.2011 | 11:27:50] /spawnc inf
[16.6.2011 | 11:28:09] /spawnc bul
[16.6.2011 | 11:28:57] /spawnc bull
[16.6.2011 | 11:51:10] /goto 0
[16.6.2011 | 11:54:06] /spawnc sul
[16.6.2011 | 11:54:33] /spawnc zr
[16.6.2011 | 11:54:58] /spawnc zr
[16.6.2011 | 11:55:16] /spawnc fc
[16.6.2011 | 11:55:31] /spawnc fc
[16.6.2011 | 11:57:39] /spawnc NRG
[16.6.2011 | 11:58:33] /spawnc sla
[16.6.2011 | 11:59:58] /spawnc sa
[16.6.2011 | 12:00:11] /spawnc sabre
[16.6.2011 | 12:00:48] /spawnc pho
[16.6.2011 | 12:06:00] /spawnc bull
[16.6.2011 | 12:06:45] /spawnc bull
[16.6.2011 | 12:07:43] /spawnc tu
[16.6.2011 | 12:08:09] /spawnc tu
[16.6.2011 | 12:08:24] /spawnc tu
[16.6.2011 | 12:09:01] /spawnc NRG
[16.6.2011 | 12:09:21] /spawnc NRG
[16.6.2011 | 12:09:55] /spawnc NRG
[16.6.2011 | 12:10:36] /spawnc tur
[16.6.2011 | 12:12:10] /spawnc Mav
[16.6.2011 | 12:14:16] /spawnc Mav
[16.6.2011 | 12:19:09] /spawnc Turis
[16.6.2011 | 12:19:42] /spawnc Turis
[16.6.2011 | 12:20:25] /spawnc ban
[16.6.2011 | 12:21:29] /spawnc NRG
[16.6.2011 | 12:22:24] /spawnc str
[16.6.2011 | 12:22:57] /spawnc str
[16.6.2011 | 12:23:26] /spawnc str
[16.6.2011 | 12:24:07] /spawnc str
[16.6.2011 | 12:24:40] /spawnc tur
[16.6.2011 | 12:24:53] /spawnc tur
[16.6.2011 | 12:25:18] /spawnc inf
[16.6.2011 | 12:25:31] /spawnc inf
[23.6.2011 | 12:26:15] /spawnc pho
[16.6.2011 | 12:26:59] /spawnc tor
[16.6.2011 | 12:29:01] /spawnc inf
[16.6.2011 | 12:29:51] /spawnc tor
[16.6.2011 | 12:30:41] /spawnc tor
[16.6.2011 | 12:32:34] /spawnc mons
[16.6.2011 | 12:32:57] /spawnc monster b
[16.6.2011 | 12:33:10] /spawnc monster b
[16.6.2011 | 12:33:19] /spawnc monster a
[16.6.2011 | 12:33:34] /spawnc monster a
[16.6.2011 | 12:34:40] /get 0
[16.6.2011 | 12:35:48] /spawnc eleg
