[14.6.2011 | 20:29:12] /spawnc a
[14.6.2011 | 20:49:06] /full 
[14.6.2011 | 22:39:20] /goto 1
[14.6.2011 | 23:03:07] /full 
[15.6.2011 | 18:58:01] /ramoney 
[15.6.2011 | 18:59:00] /spawnc nrg
[15.6.2011 | 19:00:15] /spawnc nr
[15.6.2011 | 19:01:10] /spawnc nr
[15.6.2011 | 19:01:32] /full 
[15.6.2011 | 19:01:34] /spawnc nr
[15.6.2011 | 20:04:00] /setskin 0 0
[15.6.2011 | 20:08:27] /spawnc 411
[15.6.2011 | 20:19:54] /goto 1
[15.6.2011 | 20:19:55] /goto 1
[15.6.2011 | 20:19:56] /goto 1
[15.6.2011 | 20:19:57] /goto 1
[15.6.2011 | 20:21:34] /get 1
[15.6.2011 | 20:22:06] /get 1
[15.6.2011 | 20:22:23] /get 1
[15.6.2011 | 20:22:27] /freeze 1
[15.6.2011 | 20:22:28] /get 1
[15.6.2011 | 20:22:31] /unfreeze 1
[15.6.2011 | 20:29:55] /spawnc nr
[15.6.2011 | 20:30:02] /spawnc nr
[15.6.2011 | 20:30:07] /spawnc nr
[15.6.2011 | 20:30:51] /spawnc nr
[15.6.2011 | 22:04:35] /setlevel 1 9
[15.6.2011 | 22:05:55] /get 1
[15.6.2011 | 22:06:21] /unfreeze 0
[15.6.2011 | 22:07:08] /full 
[15.6.2011 | 22:07:23] /full 
[15.6.2011 | 22:08:00] /spawnc nr
[15.6.2011 | 22:08:14] /unfreeze 0
[15.6.2011 | 22:08:31] /full 
[15.6.2011 | 22:08:42] /full 1
[15.6.2011 | 22:08:45] /full 
[15.6.2011 | 22:10:06] /ramoney 
[15.6.2011 | 22:10:52] /unfreeze 0
[15.6.2011 | 22:13:15] /unfreeze 0
[15.6.2011 | 22:13:37] /freeze 1
[15.6.2011 | 22:13:55] /unfreeze 1
[15.6.2011 | 22:16:53] /get 1
[15.6.2011 | 22:17:00] /full 1
[15.6.2011 | 22:17:02] /full 
[15.6.2011 | 22:17:08] /setar 1 1
[15.6.2011 | 22:17:14] /sethp 1 1
[15.6.2011 | 22:17:21] /cd 5 1
[15.6.2011 | 22:17:37] /get 1
[15.6.2011 | 22:17:39] /get 1
[15.6.2011 | 22:17:42] /sethp 1 0
[15.6.2011 | 22:17:55] /full 
[15.6.2011 | 22:17:58] /full 1
[15.6.2011 | 22:18:09] /cd 5 0
[15.6.2011 | 22:18:17] /giveweapon 1 sawn 9999
[15.6.2011 | 22:18:21] /cd 5 0
[15.6.2011 | 22:18:49] /giveweapon 0 22 9
[15.6.2011 | 22:18:59] /giveweapon 0 22 1
[15.6.2011 | 22:19:18] /get 1
[15.6.2011 | 22:19:23] /cd 5 0
[15.6.2011 | 22:19:25] /full 
[15.6.2011 | 22:23:18] /sethp 1 1
[15.6.2011 | 22:25:16] /goto 1
[15.6.2011 | 22:25:21] /flip 1
[15.6.2011 | 22:25:23] /flip 1
[15.6.2011 | 22:26:43] /gn 1
[15.6.2011 | 22:26:58] /gn 1
[15.6.2011 | 22:27:20] /vr 
[15.6.2011 | 22:29:56] /get 2
[15.6.2011 | 22:30:36] /goto 2
[15.6.2011 | 22:30:53] /spawnc monster
[15.6.2011 | 22:31:05] /goto 1
[15.6.2011 | 22:31:58] /get 1
[15.6.2011 | 22:33:32] /get 1
[15.6.2011 | 22:33:43] /get 1
[15.6.2011 | 22:34:16] /get 1
[15.6.2011 | 22:36:56] /get 1
[15.6.2011 | 22:37:03] /get 1
[15.6.2011 | 22:37:04] /get 1
[15.6.2011 | 22:37:14] /get 1
[15.6.2011 | 22:37:36] /spawnc nrg
[15.6.2011 | 22:37:51] /goto 2
[16.6.2011 | 08:16:39] /giveweapon 0 27 999
[16.6.2011 | 08:16:46] /giveweapon 0 38 999
[16.6.2011 | 08:16:55] /god 
[16.6.2011 | 08:17:05] /giveweapon 0 gre 9
[16.6.2011 | 08:26:50] /givemoney 0 1000000
[16.6.2011 | 08:26:51] /givemoney 0 1000000
[16.6.2011 | 08:26:51] /givemoney 0 1000000
[16.6.2011 | 08:26:51] /givemoney 0 1000000
[16.6.2011 | 08:27:18] /givemoney 0 1000000
[16.6.2011 | 08:27:18] /givemoney 0 1000000
[16.6.2011 | 08:27:19] /givemoney 0 1000000
[16.6.2011 | 08:27:19] /givemoney 0 1000000
[16.6.2011 | 08:27:20] /givemoney 0 1000000
[16.6.2011 | 08:27:20] /givemoney 0 1000000
[16.6.2011 | 08:27:20] /givemoney 0 1000000
[16.6.2011 | 08:27:21] /givemoney 0 1000000
[16.6.2011 | 08:27:22] /givemoney 0 1000000
[16.6.2011 | 08:27:23] /givemoney 0 1000000
[16.6.2011 | 09:17:43] /changepass ***********
