[13.6.2011 | 12:30:08] /xcmds 
[13.6.2011 | 12:35:06] /givemoney 1 1000000
[13.6.2011 | 12:35:11] /acmds 
[13.6.2011 | 12:35:12] /pcmds 
[13.6.2011 | 12:37:46] /givemoney 1 1000000
[13.6.2011 | 12:41:54] /akill 3
[13.6.2011 | 12:46:37] /get 3
[13.6.2011 | 12:47:14] /get 3
[13.6.2011 | 12:48:02] /givemoney 2 1000000
[13.6.2011 | 12:56:40] /full 
[13.6.2011 | 12:57:59] /full 
[13.6.2011 | 13:05:18] /explode 0
[13.6.2011 | 13:06:28] /explode 0
[13.6.2011 | 13:06:33] /explode 0
[13.6.2011 | 13:06:33] /explode 0
[13.6.2011 | 13:06:34] /explode 0
[13.6.2011 | 13:06:34] /explode 0
[13.6.2011 | 13:06:34] /explode 0
[13.6.2011 | 13:06:35] /explode 0
[13.6.2011 | 13:06:35] /explode 0
[13.6.2011 | 13:06:39] /explode 0
[13.6.2011 | 13:06:39] /explode 0
[13.6.2011 | 13:06:40] /explode 0
[13.6.2011 | 13:06:45] /explode 0
[13.6.2011 | 13:06:45] /explode 0
[13.6.2011 | 13:06:46] /explode 0
[13.6.2011 | 13:06:46] /explode 0
[13.6.2011 | 13:06:49] /akill 0
[13.6.2011 | 13:06:49] /akill 0
[13.6.2011 | 13:06:50] /akill 0
[13.6.2011 | 13:06:50] /akill 0
[13.6.2011 | 13:06:50] /akill 0
[13.6.2011 | 13:07:20] /goto 0
[13.6.2011 | 13:07:32] /goto 0
[13.6.2011 | 13:07:36] /goto 0
[13.6.2011 | 13:08:15] /eject 0
[13.6.2011 | 13:10:56] /givemoney 1 80000
[13.6.2011 | 13:11:10] /goto 2
[13.6.2011 | 13:11:51] /full 
[13.6.2011 | 13:13:16] /giveweapon 1 minigun 10000
[13.6.2011 | 13:13:46] /giveweapon 1 minigun 10000
[13.6.2011 | 13:14:23] /giveweapon 1 minigun 10000
[13.6.2011 | 13:14:25] /goto 0
[13.6.2011 | 13:15:16] /full 
[13.6.2011 | 13:18:30] /goto 0
[13.6.2011 | 13:18:35] /giveweapon 1 minigun 10000
[13.6.2011 | 13:18:38] /giveweapon 1 minigun 10000
[13.6.2011 | 13:18:38] /giveweapon 1 minigun 10000
[13.6.2011 | 13:18:38] /giveweapon 1 minigun 10000
[13.6.2011 | 13:18:38] /giveweapon 1 minigun 10000
[13.6.2011 | 13:18:39] /giveweapon 1 minigun 10000
[13.6.2011 | 13:18:39] /giveweapon 1 minigun 10000
[13.6.2011 | 13:18:49] /gaweapon 38 10000
[13.6.2011 | 13:18:55] /full 
[13.6.2011 | 13:18:59] /full 
[13.6.2011 | 13:18:59] /full 
[13.6.2011 | 13:18:59] /full 
[13.6.2011 | 13:19:00] /full 
[13.6.2011 | 13:19:04] /gaweapon 38 10000
[13.6.2011 | 13:19:41] /goto 0
[13.6.2011 | 13:19:51] /gaweapon 38 10000
[13.6.2011 | 13:19:52] /gaweapon 38 10000
[13.6.2011 | 13:19:52] /gaweapon 38 10000
[13.6.2011 | 13:19:52] /gaweapon 38 10000
[13.6.2011 | 13:20:00] /gaweapon 38 10000
[13.6.2011 | 13:20:00] /gaweapon 38 10000
[13.6.2011 | 13:20:01] /gaweapon 38 10000
[13.6.2011 | 13:20:01] /gaweapon 38 10000
[13.6.2011 | 13:20:04] /goto 0
[13.6.2011 | 13:21:34] /get 3
[13.6.2011 | 13:21:55] /get 2
[13.6.2011 | 13:21:57] /get 2
[13.6.2011 | 13:22:00] /get 2
[13.6.2011 | 13:22:35] /spawnc nrg
[13.6.2011 | 13:22:58] /xcmds 
[13.6.2011 | 13:23:06] /noon 
[13.6.2011 | 13:23:12] /morning 
[13.6.2011 | 13:23:21] /goto 0
[13.6.2011 | 13:24:00] /goto 0
[13.6.2011 | 13:24:09] /get 2
[13.6.2011 | 13:24:17] /get 2
[13.6.2011 | 13:24:18] /get 3
[13.6.2011 | 13:24:22] /get 0
[13.6.2011 | 13:24:44] /cd 2
[13.6.2011 | 13:24:47] /cd 3
[13.6.2011 | 13:25:34] /cd 1000 2
[13.6.2011 | 13:25:41] /goto 0
[13.6.2011 | 13:25:46] /kcd 
[13.6.2011 | 13:25:49] /cd 1000 1
[13.6.2011 | 13:25:53] /kcd 
[13.6.2011 | 13:26:09] /get 2
[13.6.2011 | 13:26:12] /get 2
[13.6.2011 | 13:26:14] /get 2
[13.6.2011 | 13:26:21] /get 2
[13.6.2011 | 13:26:24] /get 3
[13.6.2011 | 13:27:48] /sethp 2 100
[13.6.2011 | 13:28:46] /freeze 2
[13.6.2011 | 13:28:51] /unfreeze aviv
[13.6.2011 | 13:29:49] /giveweapon 1 24 10000
[13.6.2011 | 13:29:50] /giveweapon 1 24 10000
[13.6.2011 | 13:29:50] /giveweapon 1 24 10000
[13.6.2011 | 13:29:50] /giveweapon 1 24 10000
[13.6.2011 | 13:29:50] /giveweapon 1 24 10000
[13.6.2011 | 13:30:37] /get 2
[13.6.2011 | 13:32:08] /flip 
[13.6.2011 | 13:35:35] /get 2
[13.6.2011 | 13:37:53] /flip 
[13.6.2011 | 13:50:04] /goto 0
