[15.6.2011 | 22:27:20] /vr 
[15.6.2011 | 22:27:38] /gn 1
[15.6.2011 | 22:29:34] /goto 0
[15.6.2011 | 22:29:54] /god 
[15.6.2011 | 22:30:16] /goto 2
[15.6.2011 | 22:30:45] /goto 2
[15.6.2011 | 22:31:11] /flip 
[15.6.2011 | 22:31:43] /spawnc MONS
[15.6.2011 | 22:32:06] /vr 
[15.6.2011 | 22:32:13] /vr 
[15.6.2011 | 22:32:14] /vr 
[15.6.2011 | 22:32:15] /vr 
[15.6.2011 | 22:32:18] /vr 
[15.6.2011 | 22:32:19] /vr 
[15.6.2011 | 22:32:20] /vr 
[15.6.2011 | 22:32:22] /vr 
[15.6.2011 | 22:32:23] /vr 
[15.6.2011 | 22:33:09] /vr 
[15.6.2011 | 22:33:10] /vr 
[15.6.2011 | 22:33:12] /vr 
[15.6.2011 | 22:33:18] /vr 
[15.6.2011 | 22:33:25] /vr 
[15.6.2011 | 22:33:38] /vr 
[15.6.2011 | 22:34:33] /goto 0
[15.6.2011 | 22:34:36] /goto 0
[15.6.2011 | 22:34:41] /vr 
[15.6.2011 | 22:36:09] /goto 2
[15.6.2011 | 22:36:13] /goto 0
[15.6.2011 | 22:36:14] /goto 0
[15.6.2011 | 22:36:15] /goto 0
[15.6.2011 | 22:36:16] /goto 0
[15.6.2011 | 22:36:17] /goto 0
[15.6.2011 | 22:36:18] /goto 0
[15.6.2011 | 22:36:19] /goto 0
[15.6.2011 | 22:36:19] /goto 0
[15.6.2011 | 22:36:20] /goto 0
[15.6.2011 | 22:36:20] /goto 0
[15.6.2011 | 22:36:20] /goto 0
[15.6.2011 | 22:36:21] /goto 0
[15.6.2011 | 22:36:24] /vr 
[15.6.2011 | 22:36:25] /vr 
[15.6.2011 | 22:36:27] /goto 0
[15.6.2011 | 22:36:31] /goto 0
[15.6.2011 | 22:36:33] /goto 0
[15.6.2011 | 22:36:38] /goto 0
[15.6.2011 | 22:36:44] /goto 0
[15.6.2011 | 22:36:46] /goto 0
[15.6.2011 | 22:36:51] /goto 0
[15.6.2011 | 22:36:54] /goto 0
[15.6.2011 | 22:36:57] /goto 0
[15.6.2011 | 22:36:58] /goto 0
[15.6.2011 | 22:36:59] /goto 0
[15.6.2011 | 22:36:59] /goto 0
[15.6.2011 | 22:37:00] /goto 0
[15.6.2011 | 22:37:08] /goto 0
[15.6.2011 | 22:37:10] /goto 2
