[10.6.2011 | 18:37:43] /givemoney 0 10000000
[10.6.2011 | 21:00:30] /setworld 0 16
[10.6.2011 | 21:00:50] /setworld 0 0
[10.6.2011 | 21:01:04] /setworld 0 16
[10.6.2011 | 21:01:11] /setworld 0 0
[10.6.2011 | 21:01:23] /setworld 0 16
[10.6.2011 | 21:01:33] /setworld 0 0
[10.6.2011 | 21:01:41] /setworld 0 16
[10.6.2011 | 21:01:46] /setworld 0 0
[11.6.2011 | 10:53:02] /givemoney 0 1000000
[11.6.2011 | 11:02:53] /givemoney 0 10000000
[11.6.2011 | 11:03:30] /givemoney 0 10000000
[11.6.2011 | 11:03:41] /givemoney 0 10000000
[11.6.2011 | 11:04:01] /givemoney 0 10000000
[11.6.2011 | 11:04:14] /givemoney 0 10000000
[11.6.2011 | 11:04:22] /givemoney 0 10000000
[11.6.2011 | 18:14:19] /givemoney 0 10000
[11.6.2011 | 18:14:20] /givemoney 0 10000
[11.6.2011 | 18:14:21] /givemoney 0 10000
[11.6.2011 | 18:14:23] /givemoney 0 10000
[11.6.2011 | 18:17:46] /givemoney 0 1000000
[11.6.2011 | 18:18:04] /givemoney 0 1000000
[11.6.2011 | 18:18:05] /givemoney 0 1000000
[11.6.2011 | 18:18:14] /givemoney 0 345465
[11.6.2011 | 18:18:15] /givemoney 0 345465
[11.6.2011 | 18:18:16] /givemoney 0 345465
[11.6.2011 | 18:40:50] /givemoney 0 1000000
[11.6.2011 | 18:40:51] /givemoney 0 1000000
[11.6.2011 | 18:40:51] /givemoney 0 1000000
[11.6.2011 | 18:40:52] /givemoney 0 1000000
[11.6.2011 | 18:40:52] /givemoney 0 1000000
[11.6.2011 | 18:40:52] /givemoney 0 1000000
[11.6.2011 | 18:40:53] /givemoney 0 1000000
[11.6.2011 | 18:40:53] /givemoney 0 1000000
[11.6.2011 | 18:40:53] /givemoney 0 1000000
[11.6.2011 | 18:40:54] /givemoney 0 1000000
[11.6.2011 | 18:40:54] /givemoney 0 1000000
[11.6.2011 | 18:40:56] /givemoney 0 1000000
[11.6.2011 | 18:40:56] /givemoney 0 1000000
[11.6.2011 | 18:40:56] /givemoney 0 1000000
[11.6.2011 | 19:06:06] /givemoney 0 1000000
[11.6.2011 | 19:06:06] /givemoney 0 1000000
[11.6.2011 | 19:06:07] /givemoney 0 1000000
[11.6.2011 | 19:06:07] /givemoney 0 1000000
[11.6.2011 | 19:06:07] /givemoney 0 1000000
[11.6.2011 | 19:06:08] /givemoney 0 1000000
[11.6.2011 | 19:06:08] /givemoney 0 1000000
[11.6.2011 | 19:07:03] /givemoney 0 1000000
[11.6.2011 | 19:07:03] /givemoney 0 1000000
[11.6.2011 | 19:07:06] /givemoney 0 1000000
[11.6.2011 | 19:07:18] /givemoney 0 1000000
[11.6.2011 | 19:07:18] /givemoney 0 1000000
[11.6.2011 | 19:07:19] /givemoney 0 1000000
[11.6.2011 | 19:07:19] /givemoney 0 1000000
[11.6.2011 | 19:07:20] /givemoney 0 1000000
[11.6.2011 | 19:07:20] /givemoney 0 1000000
[11.6.2011 | 19:07:21] /givemoney 0 1000000
[11.6.2011 | 19:07:22] /givemoney 0 1000000
[11.6.2011 | 19:07:23] /givemoney 0 1000000
[11.6.2011 | 19:07:23] /givemoney 0 1000000
[11.6.2011 | 19:09:24] /givemoney 0 1000000
[11.6.2011 | 19:10:07] /givemoney 0 1000000
[11.6.2011 | 19:10:28] /givemoney 0 1000000
[11.6.2011 | 19:10:29] /givemoney 0 1000000
[11.6.2011 | 19:10:30] /givemoney 0 1000000
[11.6.2011 | 19:10:30] /givemoney 0 1000000
[11.6.2011 | 19:10:30] /givemoney 0 1000000
[11.6.2011 | 19:10:31] /givemoney 0 1000000
[11.6.2011 | 19:10:31] /givemoney 0 1000000
[11.6.2011 | 19:10:32] /givemoney 0 1000000
[11.6.2011 | 19:10:32] /givemoney 0 1000000
[11.6.2011 | 19:10:32] /givemoney 0 1000000
[11.6.2011 | 19:10:34] /givemoney 0 1000000
[11.6.2011 | 19:16:42] /spawnc pack
[11.6.2011 | 21:06:01] /givemoney 0 1000000
[11.6.2011 | 21:06:02] /givemoney 0 1000000
[11.6.2011 | 21:36:17] /givemoney 1 1000000
[11.6.2011 | 21:36:17] /givemoney 1 1000000
[11.6.2011 | 21:36:18] /givemoney 1 1000000
[11.6.2011 | 21:36:18] /givemoney 1 1000000
[11.6.2011 | 21:36:18] /givemoney 1 1000000
[11.6.2011 | 21:39:55] /get 1
[11.6.2011 | 21:40:29] /givemoney 0 1000000
[11.6.2011 | 21:40:29] /givemoney 0 1000000
[11.6.2011 | 21:40:30] /givemoney 0 1000000
[11.6.2011 | 21:40:30] /givemoney 0 1000000
[11.6.2011 | 21:40:31] /givemoney 0 1000000
[11.6.2011 | 21:40:31] /givemoney 0 1000000
[11.6.2011 | 21:40:31] /givemoney 0 1000000
[11.6.2011 | 21:40:32] /givemoney 0 1000000
[11.6.2011 | 21:40:32] /givemoney 0 1000000
[11.6.2011 | 21:40:32] /givemoney 0 1000000
[11.6.2011 | 21:40:33] /givemoney 0 1000000
[11.6.2011 | 21:40:33] /givemoney 0 1000000
[11.6.2011 | 21:40:34] /givemoney 0 1000000
[11.6.2011 | 21:40:34] /givemoney 0 1000000
[11.6.2011 | 21:41:00] /givemoney 1 1000000
[11.6.2011 | 21:41:02] /givemoney 1 1000000
[11.6.2011 | 21:41:02] /givemoney 1 1000000
[11.6.2011 | 21:41:02] /givemoney 1 1000000
[11.6.2011 | 21:41:03] /givemoney 1 1000000
[11.6.2011 | 21:41:03] /givemoney 1 1000000
[11.6.2011 | 21:41:03] /givemoney 1 1000000
[11.6.2011 | 21:41:04] /givemoney 1 1000000
[11.6.2011 | 21:41:14] /givemoney 1 1000000
[11.6.2011 | 21:41:15] /givemoney 1 1000000
[11.6.2011 | 21:41:15] /givemoney 1 1000000
[11.6.2011 | 21:41:16] /givemoney 1 1000000
[11.6.2011 | 21:41:16] /givemoney 1 1000000
[11.6.2011 | 21:41:16] /givemoney 1 1000000
[11.6.2011 | 21:41:17] /givemoney 1 1000000
[11.6.2011 | 21:41:17] /givemoney 1 1000000
[11.6.2011 | 21:42:15] /setlevel 1 10
[11.6.2011 | 21:42:45] /ann Noob
[11.6.2011 | 21:42:48] /ann Noob
[11.6.2011 | 21:43:09] /ann ~b~noob
[11.6.2011 | 21:44:31] /get 1
[11.6.2011 | 21:46:09] /giveweapon 0 sawn 200
[11.6.2011 | 21:46:10] /get 1
[11.6.2011 | 21:46:34] /full 1
[11.6.2011 | 21:46:42] /full 1
[11.6.2011 | 21:52:25] /full 
[11.6.2011 | 21:53:10] /xcmds 
[11.6.2011 | 21:53:25] /goto 1
[11.6.2011 | 21:55:37] /jail 1 9999999999999999999999999999999999999999999999999999999999999999999999 noob
[11.6.2011 | 21:55:53] /goto 1
[11.6.2011 | 21:56:01] /get 1
[11.6.2011 | 21:56:17] /mute 1 9999999 1
[11.6.2011 | 21:56:35] /get 1
[11.6.2011 | 21:56:37] /freeze 1
[11.6.2011 | 21:57:24] /mute 1 9999999 1
[11.6.2011 | 21:57:25] /unmute 1
[11.6.2011 | 21:57:29] /unfreeze 1
[11.6.2011 | 21:57:42] /get 1
[11.6.2011 | 21:57:45] /get 1
[11.6.2011 | 21:57:50] /get 1
[11.6.2011 | 21:57:57] /get 1
[11.6.2011 | 21:58:03] /get 1
[11.6.2011 | 21:58:26] /full 
[11.6.2011 | 21:59:58] /jail 1 99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 Muhahahahahahaha
[11.6.2011 | 22:00:03] /goto 1
[11.6.2011 | 22:00:05] /goto 1
[11.6.2011 | 22:00:12] /unjail 1
[11.6.2011 | 22:00:13] /goto 1
[11.6.2011 | 22:00:15] /jail 1 99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 Muhahahahahahaha
[11.6.2011 | 22:00:17] /goto 1
[11.6.2011 | 22:00:47] /unfreeze 1
[11.6.2011 | 22:01:08] /setlevel 1 1
[11.6.2011 | 22:02:16] /goto 1
[11.6.2011 | 22:02:26] /sethp 1 0
[11.6.2011 | 22:03:41] /get 1
[11.6.2011 | 22:04:11] /get 1
[11.6.2011 | 22:04:20] /get 1
[11.6.2011 | 22:04:58] /givemoney 1 38 9999
[11.6.2011 | 22:04:58] /givemoney 1 38 9999
[11.6.2011 | 22:04:59] /givemoney 1 38 9999
[11.6.2011 | 22:04:59] /givemoney 1 38 9999
[11.6.2011 | 22:05:02] /giveweapon 1 38 9999
[11.6.2011 | 22:05:03] /giveweapon 1 38 9999
[11.6.2011 | 22:05:03] /giveweapon 1 38 9999
[11.6.2011 | 22:05:06] /giveweapon 0 38 9999
[11.6.2011 | 22:05:09] /goto 1
[11.6.2011 | 22:05:44] /giveweapon 1 38 9999
[11.6.2011 | 22:05:45] /giveweapon 1 38 9999
[11.6.2011 | 22:05:45] /giveweapon 1 38 9999
[11.6.2011 | 22:05:48] /get 1
[11.6.2011 | 22:10:47] /goto 2
[11.6.2011 | 22:10:50] /goto 2
[12.6.2011 | 09:35:36] /spawnc bmx
[13.6.2011 | 11:21:18] /ac 
[13.6.2011 | 11:21:21] /ac 
[13.6.2011 | 11:21:24] /chat 
[13.6.2011 | 11:21:27] /chat 
[13.6.2011 | 11:23:13] /rc 
[13.6.2011 | 11:23:38] /rc 
[13.6.2011 | 11:31:37] /saa a
[13.6.2011 | 11:31:57] /snatime 0
[13.6.2011 | 11:31:59] /snatime 1
[13.6.2011 | 11:32:26] /saa a
[13.6.2011 | 11:32:31] /saa a \n a
[13.6.2011 | 11:32:35] /saa a /n a
[13.6.2011 | 11:33:23] /saa àðçðå î÷áéí ùàúä úáéðå åáæîï äëøåá àéï çðåú ðù÷éí
[13.6.2011 | 11:33:34] /snatime 1
[13.6.2011 | 11:38:35] /setscore 0 100000
[13.6.2011 | 11:38:47] /setscore 0 1000
[13.6.2011 | 11:39:20] /setwanted 0 6
[13.6.2011 | 11:41:54] /rc 
[13.6.2011 | 12:03:30] /fall 
[13.6.2011 | 12:03:36] /unfall 
[13.6.2011 | 12:17:40] /goto 1
[13.6.2011 | 12:17:51] /goto 1
[13.6.2011 | 12:18:03] /goto 1
[13.6.2011 | 12:18:09] /goto 1
[13.6.2011 | 12:19:07] /cd 5 0
[13.6.2011 | 12:20:00] /cd 3 2
[13.6.2011 | 12:26:27] /get 1
[13.6.2011 | 12:26:42] /get 1
[13.6.2011 | 12:26:50] /get 1
[13.6.2011 | 12:27:16] /get 1
[13.6.2011 | 12:27:35] /get 1
[13.6.2011 | 12:27:41] /get 1
[13.6.2011 | 12:27:45] /get 1
[13.6.2011 | 12:28:06] /get 1
[13.6.2011 | 12:28:25] /get 1
[13.6.2011 | 12:28:26] /get 1
[13.6.2011 | 12:28:38] /get 1
[13.6.2011 | 12:28:45] /get 1
[13.6.2011 | 12:28:47] /get 1
[13.6.2011 | 12:29:49] /setlevel 1 10
[13.6.2011 | 12:30:12] /get 1
[13.6.2011 | 12:38:29] /get 1
[13.6.2011 | 12:38:30] /get 2
[13.6.2011 | 12:38:31] /get 3
[13.6.2011 | 12:38:40] /get 3
[13.6.2011 | 12:38:41] /get 1
[13.6.2011 | 12:38:42] /get 2
[13.6.2011 | 12:39:01] /cd 10 0
[13.6.2011 | 12:40:07] /goto 1
[13.6.2011 | 12:42:50] /get 1
[13.6.2011 | 12:44:00] /get 1
[13.6.2011 | 12:44:01] /get 2
[13.6.2011 | 12:44:02] /get 3
[13.6.2011 | 12:44:18] /get 1
[13.6.2011 | 12:44:18] /get 2
[13.6.2011 | 12:44:19] /get 3
[13.6.2011 | 12:44:42] /get 2
[13.6.2011 | 12:44:42] /get 3
[13.6.2011 | 12:44:43] /get 1
[13.6.2011 | 12:44:51] /get 1
[13.6.2011 | 12:45:05] /get 2
[13.6.2011 | 12:45:06] /get 3
[13.6.2011 | 12:45:11] /get 1
[13.6.2011 | 12:45:11] /get 2
[13.6.2011 | 12:45:12] /get 3
[13.6.2011 | 12:45:16] /get 3
[13.6.2011 | 12:45:17] /get 3
[13.6.2011 | 12:45:19] /get 2
[13.6.2011 | 12:46:29] /pcmds 
[13.6.2011 | 12:46:31] /acmds 
[13.6.2011 | 12:46:38] /get 1
[13.6.2011 | 12:46:39] /get 2
[13.6.2011 | 12:46:40] /get 3
[13.6.2011 | 12:47:39] /get 2
[13.6.2011 | 12:59:23] /sethp 0 0
[13.6.2011 | 13:01:10] /resetmoney 3
[13.6.2011 | 13:01:20] /resetmoney 2
[13.6.2011 | 13:01:21] /resetmoney 1
[13.6.2011 | 13:01:23] /resetmoney 0
[13.6.2011 | 13:06:18] /explode 1
[13.6.2011 | 13:06:29] /explode 0
[13.6.2011 | 13:06:30] /explode 0
[13.6.2011 | 13:06:30] /explode 0
[13.6.2011 | 13:06:31] /explode 0
[13.6.2011 | 13:06:31] /explode 0
[13.6.2011 | 13:06:35] /explode 2
[13.6.2011 | 13:06:36] /explode 2
[13.6.2011 | 13:06:36] /explode 2
[13.6.2011 | 13:06:36] /explode 2
[13.6.2011 | 13:06:39] /explode 3
[13.6.2011 | 13:07:20] /givemoney 0 1000000
[13.6.2011 | 13:07:21] /givemoney 0 1000000
[13.6.2011 | 13:07:21] /givemoney 0 1000000
[13.6.2011 | 13:07:21] /givemoney 0 1000000
[13.6.2011 | 13:07:22] /givemoney 0 1000000
[13.6.2011 | 13:07:47] /explode 2
[13.6.2011 | 13:07:50] /explode 2
[13.6.2011 | 13:07:51] /explode 2
[13.6.2011 | 13:07:52] /explode 2
[13.6.2011 | 13:07:52] /explode 2
[13.6.2011 | 13:07:53] /explode 2
[13.6.2011 | 13:08:03] /goto 2
[13.6.2011 | 13:08:05] /goto 0
[13.6.2011 | 13:10:04] /goto 2
[13.6.2011 | 13:10:07] /givemoney 0 1000000
[13.6.2011 | 13:10:10] /goto 2
[13.6.2011 | 13:11:30] /get 1
[13.6.2011 | 13:11:31] /get 2
[13.6.2011 | 13:11:31] /get 3
[13.6.2011 | 13:11:54] /gaweapon combat 10000
[13.6.2011 | 13:12:11] /full 
[13.6.2011 | 13:12:14] /gaweapon combat 10000
[13.6.2011 | 13:12:47] /full 2
[13.6.2011 | 13:12:50] /full 3
[13.6.2011 | 13:12:50] /full 1
[13.6.2011 | 13:12:52] /full 0
[13.6.2011 | 13:13:32] /gaweapon 38 10000
[13.6.2011 | 13:13:50] /get 1
[13.6.2011 | 13:13:52] /get 2
[13.6.2011 | 13:13:55] /get 1
[13.6.2011 | 13:13:56] /get 2
[13.6.2011 | 13:14:02] /gaweapon 38 10000
[13.6.2011 | 13:14:12] /full 2
[13.6.2011 | 13:14:35] /get 2
[13.6.2011 | 13:14:36] /gaweapon 38 10000
[13.6.2011 | 13:14:39] /full 2
[13.6.2011 | 13:14:46] /gaweapon 38 10000
[13.6.2011 | 13:14:48] /get 2
[13.6.2011 | 13:14:50] /full 2
[13.6.2011 | 13:16:22] /full 
[13.6.2011 | 13:16:30] /get 2
[13.6.2011 | 13:16:33] /gaweapon 38 10000
[13.6.2011 | 13:16:45] /full 
[13.6.2011 | 13:16:46] /full 3
[13.6.2011 | 13:16:50] /full 2
[13.6.2011 | 13:18:13] /get 2
[13.6.2011 | 13:18:16] /gaweapon 38 10000
[13.6.2011 | 13:20:48] /get 1
[13.6.2011 | 13:20:49] /get 2
[13.6.2011 | 13:20:50] /get 2
[13.6.2011 | 13:20:51] /get 3
[13.6.2011 | 13:21:19] /get 1
[13.6.2011 | 13:21:20] /get 2
[13.6.2011 | 13:21:21] /get 3
[13.6.2011 | 13:21:26] /get 3
[13.6.2011 | 13:21:27] /get 2
[13.6.2011 | 13:21:31] /get 2
[13.6.2011 | 13:21:32] /get 3
[13.6.2011 | 13:22:31] /full 1
[13.6.2011 | 13:22:32] /full 2
[13.6.2011 | 13:22:34] /full 3
[13.6.2011 | 13:23:08] /full 
[13.6.2011 | 13:23:09] /full 1
[13.6.2011 | 13:23:10] /full 2
[13.6.2011 | 13:23:13] /full 3
[13.6.2011 | 13:24:11] /get 1
[13.6.2011 | 13:24:12] /get 2
[13.6.2011 | 13:24:13] /get 3
[13.6.2011 | 13:25:18] /cd 99999
[13.6.2011 | 13:25:29] /kcd 
[13.6.2011 | 13:25:45] /get 3
[13.6.2011 | 13:25:56] /cd 99999
[13.6.2011 | 13:26:39] /get 3
[13.6.2011 | 13:26:43] /get 3
[13.6.2011 | 13:26:45] /freeze 3
[13.6.2011 | 13:26:52] /unfreeze 3
[13.6.2011 | 13:27:57] /get 3
[13.6.2011 | 13:28:39] /kcd 
[13.6.2011 | 13:29:10] /get 2
[13.6.2011 | 13:29:11] /get 3
[13.6.2011 | 13:29:32] /gaweapon 38 10000
[13.6.2011 | 13:29:33] /gaweapon 38 10000
[13.6.2011 | 13:29:35] /gaweapon 38 10000
[13.6.2011 | 13:29:35] /gaweapon 38 10000
[13.6.2011 | 13:29:36] /gaweapon 38 10000
[13.6.2011 | 13:29:46] /get 1
[13.6.2011 | 13:29:47] /get 2
[13.6.2011 | 13:29:48] /get 3
[13.6.2011 | 13:29:57] /get 3
[13.6.2011 | 13:30:31] /get 3
[13.6.2011 | 13:30:33] /get 2
[13.6.2011 | 13:30:48] /gaweapon 38 10000
[13.6.2011 | 13:30:49] /gaweapon 38 10000
[13.6.2011 | 13:30:50] /gaweapon 38 10000
[13.6.2011 | 13:30:50] /gaweapon 38 10000
[13.6.2011 | 13:31:02] /full 3
[13.6.2011 | 13:31:03] /full 2
